month,pushes,actor,actor_attributes_location,lat,lng
8/1/2014,7,kvkens,"Haidian,Beijing,China",39.9933915,116.2040441
8/1/2014,1,SPodjasek,"Debica, PK, Poland",50.05131,21.41085
8/1/2014,2,vsn4ik,"Moscow, Russia",55.4792046,37.3273304
8/1/2014,6,aoimedia,Scotland UK,56.7861112,-4.1140518
8/1/2014,1,jholl,Chattanooga,35.0456297,-85.3096801
8/1/2014,2,allspiritseve,"Ann Arbor, MI",42.2681569,-83.7312291
8/1/2014,1,Torone,London - UK,51.5072759,-0.1276597
8/1/2014,1,endyjasmi,Malaysia,4.5693754,102.2656823
8/1/2014,22,apexskier,"Bellingham, WA",48.754402,-122.4788602
8/1/2014,1,embedthis,"Seattle, Washington. USA.",47.6038321,-122.3300624
8/1/2014,1,aaron0395,China Shanghai,31.2253441,121.4888922
8/1/2014,5,juthilo,"M��nster, Germany",,
8/1/2014,1,djwatson82,United States,39.7837304,-100.4458825
8/1/2014,1,arnabnandy7,Kolkata,22.54170505,88.31637171
8/1/2014,3,jsdf,"Perth, Australia",-31.9527121,115.8604796
8/1/2014,1,AsherBond,San Francisco,37.7789601,-122.419199
8/1/2014,5,mrzzcn,China,35.000074,104.999927
8/1/2014,3,FabledWeb,"Columbus, OH",39.9622601,-83.0007065
8/1/2014,1,ahmednuaman,UK,54.7023545,-3.2765753
8/1/2014,1,i02sopop,Madrid,40.5248319,-3.771562775
8/1/2014,2,loi-chuanoi,M���t n���a s��� th���t,,
8/1/2014,1,renebentes,Santar��m,,
8/1/2014,2,ryenus,Shanghai,31.2253441,121.4888922
8/1/2014,4,ebreaur,Dubai,25.2683521,55.2961962
8/1/2014,1,edwardsmit,"Dordrecht, The Netherlands",51.7958812,4.6779351
8/1/2014,1,kevindayton,Oklahoma City,35.4707419,-97.5198806
8/1/2014,7,halitalptekin,Turkey,38.9597594,34.9249653
8/1/2014,1,psgibbs,"San Francisco, CA",37.7789601,-122.419199
8/1/2014,1,jroxendal,Sweden,59.6749712,14.5208584
8/1/2014,4,jasny,Amsterdam,52.3710088,4.9001115
8/1/2014,7,xificurk,Czech Republic,49.8167003,15.4749544
8/1/2014,15,hnrch02,"Vienna, Austria",48.2083537,16.3725042
8/1/2014,11,sgonyea,"Irvine, CA",33.6862707,-117.8258199
8/1/2014,2,ahonymous,"Ukraine, Cherkasy",49.4447888,32.0587805
8/1/2014,3,XhmikosR,Hellas (Greece),39.000041,21.9999569
8/1/2014,1,drmonty,Berlin/Germany,52.5170365,13.3888599
8/1/2014,1,ankurp,New York City,40.7305991,-73.9865812
8/1/2014,5,mef,"Brussels, Belgium",50.8465406,4.3516841
8/1/2014,4,startupjing,St.Louis,38.6272733,-90.1978889
8/1/2014,1,kkragenbrink,"Aliso Viejo, CA",33.5761376,-117.7258122
8/1/2014,6,mosoft521,Shanghai China,31.2253441,121.4888922
8/1/2014,3,liuheng,"Beijing,China",40.2505379,116.6250886
8/1/2014,2,JBCSU,"Stanford, CA",37.4266268,-122.1701137
8/1/2014,5,mdshohelrana,"Dhaka, Bangladesh",23.7282161,90.4098792
8/1/2014,2,dannykingme,San Francisco,37.7789601,-122.419199
8/1/2014,2,dkontsevoy,"Lviv, Lviv Oblast, Ukraine",49.8419505,24.0315968
8/1/2014,2,artgmz,Southern California,34.0219302,-118.2858291
8/1/2014,1,kylezeeuwen,"Sydney, Australia",-33.8548157,151.2164539
8/1/2014,1,budnik,"Dnipropetrovs'k, Ukraine",48.4680221,35.0417711
8/1/2014,1,fat,"San Francisco, CA",37.7789601,-122.419199
8/1/2014,3,omniphx,"Somerville, MA",42.3875968,-71.0994968
8/1/2014,25,cjlpowers,Austin Texas,30.2711286,-97.7436995
