month,pushes,actor,actor_attributes_location,lat,lng
8/1/2014,1,AurelioDeRosa,"London, UK (ex Frattamaggiore, Italy)",,
8/1/2014,1,petersendidit,"Austin, Texas",30.2711286,-97.7436995
8/1/2014,5,Zergleb,Utah,39.4225192,-111.7143584
8/1/2014,1,leobalter,"Rio de Janeiro, Brazil",-22.9112163,-43.2093781
8/1/2014,1,PeterDaveHello,Taiwan ROC,25.0616229,121.5330704
8/1/2014,2,gtsop,Greece,39.000041,21.9999569
8/1/2014,5,marcioviniciussena,"Goiania, Goi��s",,
8/1/2014,1,ismay,Netherlands,52.5001698,5.7480821
8/1/2014,1,rphuber,"Charleston, SC",32.7876012,-79.9402728
8/1/2014,1,ameyms,"Pune, India",18.64306615,73.93183004
8/1/2014,4,hamishdickson,London,51.5072759,-0.1276597
8/1/2014,3,KOBA789,Japan,36.5748441,139.2394179
8/1/2014,9,ishrat009,"Dhaka, Bangladesh",23.7282161,90.4098792
8/1/2014,1,Enelar,Saint-Petersburg,59.9393657,30.3153628
8/1/2014,2,longzero1888,"Beijing,China",40.2505379,116.6250886
8/1/2014,2,tkblink,"Charleston, SC",32.7876012,-79.9402728
7/1/2014,1,dmethvin,"Columbia, MD",39.2151996,-76.8546725
7/1/2014,1,danhart,"London, UK",51.5072759,-0.1276597
7/1/2014,2,drmonty,Berlin/Germany,52.5170365,13.3888599
7/1/2014,1,balupton,"Sydney, Australia",-33.8548157,151.2164539
7/1/2014,1,ZECTBynmo,Cambridge MA,42.3750997,-71.1056157
7/1/2014,2,RobLoach,"Toronto, ON",43.6529206,-79.3849008
7/1/2014,1,ssut,"Seoul, Korea",37.5710824,126.9953036
7/1/2014,1,viviannow,"peking,china",40.2505379,116.6250886
7/1/2014,1,ahmetatak,��stanbul,,
7/1/2014,11,ChrisAntaki,United States of America,39.7837304,-100.4458825
7/1/2014,1,brendansoftllc,"Oak Ridge, TN",36.0103562,-84.2696449
7/1/2014,1,floverdevel,"Plan��te Terre, Voie Lact��e",,
7/1/2014,3,rkanagarajnr,India,22.3511148,78.6677428
7/1/2014,4,leobalter,"Rio de Janeiro, Brazil",-22.9112163,-43.2093781
7/1/2014,1,jazzqi,"Hangzhou, China",30.2665643,120.149335
7/1/2014,2,mzgol,"Poland, Warsaw",52.2319237,21.0067265
7/1/2014,3,wenber,Beijing,40.2505379,116.6250886
7/1/2014,1,mihirkelkar,"Catonsville, Maryland.",39.2720509,-76.7319161
7/1/2014,1,stephenplusplus,Michigan,43.6211955,-84.6824346
