month,pushes,actor,actor_attributes_location
8/1/2014,6,chrisdickinson,"Portland, OR"
8/1/2014,5,tianon,::1
8/1/2014,1,shigeki,"Tokyo, Japan"
8/1/2014,1,shdummy,"Seattle, WA"
8/1/2014,2,rvagg,"South Coast NSW, Australia"
8/1/2014,1,sam-github,"Vancouver, BC, Canada"
8/1/2014,1,floverdevel,"Plan��te Terre, Voie Lact��e"
8/1/2014,1,prajitdas,"Baltimore, MD"
8/1/2014,6,mmalecki,"Amsterdam, Netherlands"
8/1/2014,1,cjihrig,"Pittsburgh, PA"
8/1/2014,1,kevinsimper,Denmark
8/1/2014,2,sudodoki,Kyiv
8/1/2014,1,Ferrari,Taiwan
8/1/2014,6,loyd,Moscow
8/1/2014,9,refack,"Tel-Aviv, Israel"
8/1/2014,1,outsideris,"Seoul, South Korea"
8/1/2014,2,evanlucas,"Hattiesburg, MS"
8/1/2014,1,shama,"Napa, CA"
8/1/2014,19,indutny,Russia
8/1/2014,2,zootella,sf | boulder | nyc | stockholm
8/1/2014,2,fengmk2,"Hangzhou, China"
8/1/2014,13,seishun,Riga
8/1/2014,1,chencl,������
8/1/2014,20,CraZySacX,"Maineville,OH"
8/1/2014,1,gumpcha,Korea
8/1/2014,1,bminer,USA
8/1/2014,1,john-yan,"Toronto,ON"
8/1/2014,2,thlorenz,"New York ,NY"
8/1/2014,1,luciotato,"Buenos Aires, Argentina"
8/1/2014,1,kpdecker,"Chicago, IL"
8/1/2014,1,mathiasbynens,Belgium
8/1/2014,14,allanscullion,"London, UK"
8/1/2014,1,needforspeed,NJ
8/1/2014,38,misterdjules,Vancouver
8/1/2014,1,andrewrk,"Phoenix, Arizona"
8/1/2014,28,trevnorris,"Cupertino, CA"
8/1/2014,9,majimboo,"Cebu, Philippines"
8/1/2014,2,richardxx,Hong Kong
8/1/2014,10,JacksonTian,"Hangzhou, China"
8/1/2014,3,zcbenz,"Beijing, China"
8/1/2014,1,warseph,"Buenos Aires, Argentina"
8/1/2014,19,tjfontaine,"Alameda, CA"
8/1/2014,9,bnoordhuis,"Gouda, the Netherlands"
8/1/2014,3,srl295,"San Jos��, CA, USA"
8/1/2014,2,fiveisprime,"Cincinnati, OH"
7/1/2014,1,buth,"Brooklyn, NY"
7/1/2014,23,srl295,"San Jos��, CA, USA"
7/1/2014,2,oppenlander,"Cincinnati, OH"
7/1/2014,1,VonC,France
7/1/2014,2,bnoordhuis,"Gouda, the Netherlands"
7/1/2014,1,inthecloud247,San Francisco Bay Area
7/1/2014,1,bminer,USA
7/1/2014,2,robertkowalski,"Hamburg, Germany"
7/1/2014,1,kode4food,"Berlin, Germany"
7/1/2014,3,mmalecki,"Amsterdam, Netherlands"
7/1/2014,7,txdv,Aachen
7/1/2014,17,zootella,mountain view | boulder | nyc | stockholm
7/1/2014,1,gesellix,Germany
7/1/2014,2,zootella,sf | boulder | nyc | stockholm
7/1/2014,3,floverdevel,"Plan��te Terre, Voie Lact��e"
7/1/2014,1,richardxx,Hong Kong
7/1/2014,1,sudodoki,Kyiv
7/1/2014,3,zcbenz,"Beijing, China"
7/1/2014,2,benjamincburns,"Christchurch, New Zealand"
7/1/2014,12,trevnorris,"Cupertino, CA"
7/1/2014,61,indutny,Russia
7/1/2014,2,MauriceButler,"Brisbane, Australia"
7/1/2014,1,GuimDev,France
7/1/2014,1,evanlucas,"Hattiesburg, MS"
7/1/2014,1,stolsma,The Netherlands
7/1/2014,1,crhallberg,"Drexel Hill, PA"
7/1/2014,10,rmg,"Langley, BC, Canada"
7/1/2014,2,knownasilya,"Boston, MA"
7/1/2014,48,CraZySacX,"Maineville,OH"
7/1/2014,8,sam-github,"Vancouver, BC, Canada"
7/1/2014,1,pitcha,"Bangkok, Thailand"
7/1/2014,2,fdgonthier,Sherbrooke
7/1/2014,3,Elzair,"Charlotte, NC"
7/1/2014,9,chrisdickinson,"Portland, OR"
7/1/2014,8,tjfontaine,"Alameda, CA"
7/1/2014,4,fitzage,"Tucson, AZ"
7/1/2014,3,joeloria,"Brooklyn, NY"
7/1/2014,1,othiym23,San Francisco
7/1/2014,2,huyvlam,"San Jose, CA"
7/1/2014,1,rskwiat,New York
7/1/2014,14,averted,"Toronto, Canada"
7/1/2014,4,JacksonTian,"Hangzhou, China"
7/1/2014,1,NaniCser,https://github.com/settings/profile
7/1/2014,3,deanm,"Berlin, Germany"
7/1/2014,1,TooTallNate,"San Rafael, CA"
7/1/2014,1,ghmlee,Seoul
7/1/2014,5,blazs,"Ljubljana, Slovenia"
7/1/2014,1,RockLi,"Beijing, China"
7/1/2014,1,cb1kenobi,"Santa Clara, CA"
7/1/2014,7,miukki,Shanghai
7/1/2014,1,bahamas10,"Buffalo, NY"
7/1/2014,6,misterdjules,Vancouver
7/1/2014,3,chefscott,California
7/1/2014,1,3rd-Eden,"Drachten, the Netherlands"
7/1/2014,5,john-yan,"Toronto,ON"
7/1/2014,19,misterdjules,Montr��al
7/1/2014,2,edhemphill,"Austin, TX"
7/1/2014,1,skeggse,"Portland, Oregon"
7/1/2014,11,tim-smart,New Zealand
7/1/2014,1,oconnore,"Boston, MA"
7/1/2014,1,luciotato,"Buenos Aires, Argentina"
6/1/2014,3,eddaddy,"Silicon Valley, CA"
6/1/2014,2,shigeki,"Tokyo, Japan"
6/1/2014,3,bnoordhuis,"Gouda, the Netherlands"
6/1/2014,2,tharindu96,"Galle, Sri Lanka"
6/1/2014,2,spolu,San Francisco
6/1/2014,5,droolingsheep,"San Francisco, CA"
6/1/2014,1,RaymondYe,Shenzhen China
6/1/2014,1,fitzage,"Tucson, AZ"
6/1/2014,2,Elzair,"Charlotte, NC"
6/1/2014,1,floverdevel,"Plan��te Terre, Voie Lact��e"
6/1/2014,2,brettpappas,United States
6/1/2014,1,mtbrandy,"Austin, TX"
6/1/2014,1,skeggse,"Portland, Oregon"
6/1/2014,4,rogerwang,"Shanghai, China"
6/1/2014,1,rmg,"Langley, BC, Canada"
6/1/2014,2,sofo-ryanm,"Madison, WI"
6/1/2014,15,chrisdickinson,"Portland, OR"
6/1/2014,1,mrfabbri,"Cesenatico, Italy"
6/1/2014,1,Sannis,"Moscow, Russia"
6/1/2014,3,yorkie,"Guiyang, China"
6/1/2014,1,evanlucas,"Hattiesburg, MS"
6/1/2014,2,glasser,"San Francisco, CA"
6/1/2014,5,zcbenz,"Beijing, China"
6/1/2014,2,isaacs,Oakland CA
6/1/2014,4,jgillich,Germany
6/1/2014,1,smilce,"beijing,china"
6/1/2014,1,shantanusharma,New York
6/1/2014,1,skabbes,San Francisco
6/1/2014,3,tianon,::1
6/1/2014,5,julianceballos,Mexico City
6/1/2014,15,tjfontaine,"Alameda, CA"
6/1/2014,24,srl295,"San Jos��, CA, USA"
6/1/2014,35,CraZySacX,"Maineville,OH"
6/1/2014,1,tonylukasavage,Pittsburgh PA
6/1/2014,34,indutny,Russia
6/1/2014,5,mscdex,Ohio
6/1/2014,1,watilde,Tokyo
6/1/2014,2,coderhaoxin,"Hangzhou,China"
6/1/2014,1,FredKSchott,BOS > SF
6/1/2014,11,trevnorris,"Cupertino, CA"
6/1/2014,4,zootella,mountain view | boulder | nyc | stockholm
6/1/2014,2,miukki,Shanghai
6/1/2014,1,reem,"San Francisco, CA"
6/1/2014,1,stamhe,"Shanghai,China"
6/1/2014,3,kenanyildiz,Istanbul
6/1/2014,2,saghul,"Amsterdam, NL"
6/1/2014,2,bahamas10,"Buffalo, NY"
6/1/2014,1,Schmoopiie,"Quebec, Canada"
5/1/2014,5,bsnote,Chisinau
5/1/2014,8,yorkie,"Beijing, China"
5/1/2014,18,refack,"Tel-Aviv, Israel"
5/1/2014,1,cb1kenobi,"Santa Clara, CA"
5/1/2014,3,floverdevel,"Plan��te Terre, Voie Lact��e"
5/1/2014,1,feross,"Mountain View, CA"
5/1/2014,4,calvinmetcalf,Boston
5/1/2014,5,yorkie,"Guiyang, China"
5/1/2014,2,MichaelTSS,San Francisco
5/1/2014,2,proppy,San Francisco
5/1/2014,6,rmg,"Langley, BC, Canada"
5/1/2014,27,indutny,Russia
5/1/2014,2,zhm,"St. Petersburg, FL"
5/1/2014,1,javihernandez,"Brussels, Belgium"
5/1/2014,4,zerhacken,Copenhagen
5/1/2014,1,kapouer,"Champagn�� Saint Hilaire, France"
5/1/2014,1,hustxiaoc,������������
5/1/2014,6,seishun,Riga
5/1/2014,4,piscisaureus,Amsterdam
5/1/2014,4,RaymondYe,Shenzhen China
5/1/2014,1,shivamadhavan,Singapore
5/1/2014,2,zcbenz,"Beijing, China"
5/1/2014,5,leexiaosi,beijing
5/1/2014,21,trevnorris,"Cupertino, CA"
5/1/2014,33,tjfontaine,"Alameda, CA"
5/1/2014,2,markstos,"Bloomington, Indiana, USA"
5/1/2014,1,mscdex,Ohio
5/1/2014,51,CraZySacX,"Maineville,OH"
