month,pushes,actor,actor_attributes_location,lat,lng
8/1/2014,1,elliottt,"Portland, OR",45.5202471,-122.6741949
8/1/2014,3,amilaperera,Sri Lanka,7.877,80.70435803
8/1/2014,1,timkurvers,"Oslo, Norway",59.9132694,10.7391112
8/1/2014,1,jonspalding,"Sussex, UK",51.5120816,-0.1268905415
8/1/2014,1,casidiablo,Los Angeles,34.0536781,-118.2427025
8/1/2014,1,takashiyoshida,Singapore,1.2904527,103.852038
8/1/2014,1,SethMilliken,"Berkeley, CA",37.8708789,-122.2728247
8/1/2014,1,eclipselu,"Hangzhou, China",30.2665643,120.149335
8/1/2014,1,hhkbp2,"Guangzhou, China",23.1229013,113.2529963
8/1/2014,1,DanielOaks,"Brisbane, Australia",-27.4689682,153.0234991
8/1/2014,1,daviddliu,"Providence, RI",41.8239891,-71.4128343
8/1/2014,1,tinogomes,Rio de Janeiro/RJ/Brazil,-22.9112163,-43.2093781
8/1/2014,1,jehoffmann,Berlin,52.5170365,13.3888599
8/1/2014,1,shiludeng,Zhejiang Province,43.9023071,125.3148088
8/1/2014,2,gjulianm,"Madrid, Spain",40.5248319,-3.771562775
8/1/2014,1,tompson,"Linz, Austria",48.3058789,14.2865628
8/1/2014,4,johnjohndoe,"Berlin, Germany",52.5170365,13.3888599
8/1/2014,2,abiggs,"Norman, OK",35.2225717,-97.4394816
8/1/2014,1,kscott,"Colorado Springs, CO",38.8338816,-104.8213634
8/1/2014,1,djohnston08,"Lexington, KY",38.0464066,-84.4970393
8/1/2014,1,alp82,Germany,51.0834196,10.4234469
8/1/2014,7,qmmr,"London, Great Britain",51.5072759,-0.1276597
8/1/2014,1,Caligone,"Lyon, France",45.7575958,4.8323239
8/1/2014,1,milosimpson,Austin,30.2711286,-97.7436995
8/1/2014,2,yusiwen,"Shanghai, China",31.2253441,121.4888922
8/1/2014,3,admpsktt,"Brighton, England",50.82221,-0.1377534
8/1/2014,2,savulchik,"Novosibirsk, Russia",55.0282215,82.9234476
8/1/2014,1,jkaessens,Germany,51.0834196,10.4234469
8/1/2014,1,steckel,"San Francisco, CA",37.7789601,-122.419199
8/1/2014,2,jjosh-mcintosh,"East Bay Area, California",37.7884969,-122.3558473
8/1/2014,6,jefflance,Paris,48.8565056,2.3521334
8/1/2014,1,rlaneve,"Tampa, FL",27.9477595,-82.458444
8/1/2014,1,hanwentao,"Beijing, China",40.2505379,116.6250886
8/1/2014,3,bhilburn,"Santa Clara, CA",37.2333253,-121.6846349
8/1/2014,1,dfjones,"New York, NY",40.7305991,-73.9865812
8/1/2014,1,devin-c,"Orem, UT",40.2975185,-111.6944685
8/1/2014,1,plalloni,"Buenos Aires, Argentina",-34.612869,-58.4459789
8/1/2014,2,rwoeber,"W��rzburg, Germany",,
8/1/2014,1,JeffreyVdb,Belgium,50.6407351,4.66696
8/1/2014,1,ornicar,France,46.603354,1.8883335
8/1/2014,13,codelucas,Palo Alto,37.442156,-122.1634472
8/1/2014,2,mattbarto,SF,37.7789601,-122.419199
8/1/2014,4,inutano,Tokyo,35.69004135,139.5103951
8/1/2014,1,mtougeron,"San Francisco, CA",37.7789601,-122.419199
8/1/2014,2,macshaggy,"Charlotte, NC",35.2270869,-80.8431268
8/1/2014,1,kaethorn,Zurich,47.3685586,8.5404434
8/1/2014,2,SegFaultAX,"San Francisco, CA",37.7789601,-122.419199
8/1/2014,2,celsomiranda,Portugal,40.033265,-7.8896263
8/1/2014,1,jasonzzz,"Shanghai, P.R.C",31.2253441,121.4888922
8/1/2014,1,csernazs,"Budapest, Hungary",47.4983815,19.0404707
8/1/2014,2,robbyrussell,"Portland, Oregon",45.5202471,-122.6741949
8/1/2014,1,neiljdo,"Quezon City, Philippines 1105",14.6600048,121.052809
8/1/2014,5,wylyeak,China,35.000074,104.999927
8/1/2014,2,gilles,"San Francisco, CA",37.7789601,-122.419199
8/1/2014,1,liang8305,China BeiJing,51.4760773,-0.0368321
8/1/2014,1,zpbx,"SH, CN",53.86188755,8.697154174
8/1/2014,1,yejianye,"Shanghai, China",31.2253441,121.4888922
8/1/2014,1,kutsurak,"Athens, Greece",37.9841493,23.7279843
8/1/2014,1,bobwilliams,"Charleston, SC",32.7876012,-79.9402728
8/1/2014,3,chrishunt,"Portland, Oregon",45.5202471,-122.6741949
8/1/2014,1,wrigby,"Arlington, VA, USA",32.735687,-97.1080656
8/1/2014,1,FuriKuri,"Cologne, Germany",50.9374863,6.9580232
8/1/2014,2,ingridavendano,"San Francisco, CA",37.7789601,-122.419199
8/1/2014,1,joshmedeski,"Houston, TX",29.9682672,-95.53066001
8/1/2014,1,bilke,Leipzig,51.340462,12.3747049
8/1/2014,3,RsrchBoy,"Portland, OR",45.5202471,-122.6741949
8/1/2014,1,WLPhoenix,Nashville,36.1622257,-86.7743419
8/1/2014,1,marcino,Jelenia G��ra,,
8/1/2014,3,octete,London,51.5072759,-0.1276597
8/1/2014,2,leyyinad,"Wiesbaden, Germany",50.0833,8.25
8/1/2014,1,ppinette,"Emeryville, CA",37.8313203,-122.2852532
8/1/2014,1,amonthedeamon,"Pordenone, Italy",45.9585884,12.6583314
