month,pushes,actor,actor_attributes_location,lat,lng
8/1/2014,1,antlypls,"Samara, Russia",53.1984756,50.1142415
8/1/2014,12,agrobbin,"Boston, MA",42.3604823,-71.0595678
8/1/2014,1,mkdynamic,"Palo Alto, CA",37.442156,-122.1634472
8/1/2014,2,jroesch,"Santa Barbara, California",34.4098107,-119.6970239
8/1/2014,1,dimonzozo,Russia,64.6863136,97.7453061
8/1/2014,1,plribeiro3000,"Itajub��, MG - Brazil",,
8/1/2014,1,skv-headless,Ulyanovsk,54.3107593,48.3642771
8/1/2014,11,Robovirtuoso,"Fayetteville, Arkansas",36.0686906,-94.172149
8/1/2014,3,dtaniwaki,Tokyo,35.69004135,139.5103951
8/1/2014,1,anildigital,"Pune, India",18.64306615,73.93183004
8/1/2014,1,mengqing,Sydney,-33.8548157,151.2164539
8/1/2014,1,pabloformoso,"Oleiros, Coru��a (Espa��a)",,
8/1/2014,4,bogdan,"Kiev, Ukraine",50.4499875,30.5234937
8/1/2014,3,kaspth,Copenhagen,55.6867243,12.5700724
8/1/2014,6,josevalim,"Krak��w, Poland",,
8/1/2014,25,tenderlove,Seattle,47.6038321,-122.3300624
8/1/2014,1,jbsmith86,"Seattle, WA",47.6038321,-122.3300624
8/1/2014,4,calebthompson,"Boston, MA",42.3604823,-71.0595678
8/1/2014,11,tomkadwill,"Surrey, U.K",51.2715316,-0.3414523511
8/1/2014,2,matthewd,"Adelaide, Australia",-34.9274284,138.599899
8/1/2014,1,soutaro,Tokyo,35.69004135,139.5103951
8/1/2014,1,Peeja,"Northampton, MA",42.318344,-72.6309533
8/1/2014,1,Arkham,London,51.5072759,-0.1276597
8/1/2014,2,KunoKuo,Taiwan,24.7910087,121.533556
8/1/2014,2,jasonpang,"Sunnyvale, California",37.3688301,-122.0363496
8/1/2014,7,m-Peter,"Kiato, Greece",38.0087887,22.7511182
8/1/2014,2,vijaydev,"Chennai, India",13.0112192,80.40240757
8/1/2014,1,ejaypcanaria,Philippines,12.7503486,122.7312101
8/1/2014,2,johnnyshields,"Tokyo, Japan",35.69004135,139.5103951
